drug,n_samples,r2,rmse
ascorbate (vitamin C),492,0.257,0.9492
Sabutoclax,570,0.257,1.1199
GW441756,607,0.254,0.8358
IWP-2,572,0.2534,0.7284
Lapatinib,614,0.2519,1.3691
Daporinad,357,0.2514,2.229
SB216763,610,0.2483,0.9549
L-Oxonoreleagnine,478,0.2482,0.7432
UNC0379,496,0.2449,1.1667
667880,478,0.2418,1.116
MIM1,498,0.24,1.011
Romidepsin,478,0.2397,0.8246
IOX2,117,0.2397,0.7548
MG-132,617,0.2359,0.6704
729189,478,0.2319,0.8187
Taselisib,614,0.2317,1.5362
615590,478,0.2316,0.7473
Alpelisib,614,0.2314,1.223
Erlotinib,606,0.2305,1.2133
Doramapimod,609,0.2299,0.9135
HKMTI-1-005,496,0.2293,1.2023
PBD-288,496,0.2289,1.1948
JNK Inhibitor VIII,604,0.2289,0.7998
BIBR-1532,605,0.2278,0.8781
Sepantronium bromide,609,0.2273,1.3754
NVP-ADW742,609,0.2267,1.342
765771,478,0.224,1.0308
720427,478,0.2231,0.7911
AZD3759,614,0.2212,1.0506
CT7033-2,496,0.2151,0.9256
IRAK4_4710,480,0.2106,1.0562
Foretinib,605,0.2096,1.3859
UMI-77,498,0.2078,1.1383
VTP-B,492,0.2062,0.8008
CCT-018159,117,0.2057,1.2863
Mycophenolic acid,492,0.2053,1.3874
YK-4-279,609,0.2051,1.4439
JAK_8517,480,0.2047,1.5715
Ipatasertib,609,0.2039,1.2308
ULK1_4989,479,0.202,1.4149
Afatinib,614,0.1959,1.2686
NU7441,600,0.1956,0.9902
Bleomycin (50 uM),489,0.1938,2.0084
Entospletinib,571,0.1936,1.125
BMS-536924,609,0.1932,1.2165
KU-55933,609,0.193,0.9169
IAP_5620,478,0.1929,1.3957
AGK2,597,0.1913,0.8719
Sinularin,478,0.1912,0.9722
SGC-CBP30,478,0.1908,0.8542
AGI-5198,609,0.1889,0.7324
GSK2578215A,609,0.1873,0.8162
LCL161,572,0.1857,1.1853
BDP-00009066,498,0.1856,1.0255
123138,478,0.1838,0.8977
Avagacestat,607,0.1835,0.9906
Pyridostatin,604,0.1786,1.221
TW 37,241,0.1767,1.546
VSP34_8731,480,0.1761,0.9541
Bicalutamide,117,0.1666,0.7042
Temsirolimus,587,0.162,1.4498
AZD6738,609,0.1604,1.3379
WZ4003,571,0.1596,1.2405
150412,478,0.1596,1.1002
Mirin,573,0.1565,0.9736
Ulixertinib,1105,0.1558,1.247
alpha-lipoic acid,496,0.1536,0.844
WIKI4,608,0.1527,0.9424
Pictilisib,615,0.1526,1.2045
SB590885,599,0.1521,1.063
Paclitaxel,609,0.1498,1.589
N-acetyl cysteine,496,0.1498,0.8724
A-366,496,0.149,0.8912
GSK591,604,0.1448,1.0299
BDF00022089a,478,0.1412,0.7063
741909,478,0.1408,1.4059
BDOCA000347a,478,0.1393,0.8738
Buparlisib,609,0.1378,0.8102
AZD8186,609,0.1369,1.3817
Bortezomib,609,0.1332,1.0069
LMB_AB3,478,0.128,1.0319
IGF1R_3801,479,0.1224,1.7088
Gefitinib,609,0.1224,1.2165
Tretinoin,117,0.1153,0.9743
Tamoxifen,609,0.114,1.0958
GNE-317,597,0.1079,1.3428
LY2109761,569,0.105,0.9853
Tanespimycin,602,0.103,1.488
Cediranib,609,0.1024,1.0998
XAV939,572,0.1009,0.8675
GSK2110183B,478,0.1,1.3918
Docetaxel,1065,0.0969,2.5939
Dactolisib,609,0.0879,1.2969
SL0101,117,0.081,0.7664
743380,478,0.0797,1.5228
AZD2014,480,0.0754,1.435
AZD8055,498,0.0727,1.1458
OSI-027,609,0.0725,1.3707
AZ6102,605,0.067,1.0396
Savolitinib,609,0.0669,1.3666
Rapamycin,602,0.0669,1.3745
glutathione,492,0.0573,0.8315
MN-64,571,0.0534,0.9529
Methotrexate,563,0.0445,2.2317
Elesclomol,117,0.0445,1.7737
LJI308,604,0.0253,0.9253
Staurosporine,616,0.0244,1.2621
Remodelin,255,0.0211,1.2695
OF-1,571,0.0121,1.145
AT13148,604,0.0015,1.4868
AZD1332,480,-0.0064,1.4419
Piperlongumine,117,-0.0306,1.1313
Obatoclax Mesylate,518,-0.0434,1.0125
AZD6482,151,-0.0492,1.1512
Dactinomycin,1075,-0.1631,2.0756
Fulvestrant,1091,-0.1916,1.4049
GSK343,1066,-0.2651,1.5171
